Student ID,Student Name,Date of Birth,Field of Study,Year of Admission,Expected Year of Graduation,Current Semester,Specialization,Fees,Discount on Fees
165527,Bryan Rogers,2006-01-19,Computer Science,2020,2017,3,Web Development,155152,19572
635763,James Hogan,1999-05-23,Mechanical Engineering,2020,2020,2,Machine Learning,157870,14760
740021,David Robinson,1997-12-02,Civil Engineering,2017,2022,1,Network Security,55662,5871
433076,Susan Miller,1999-10-30,Computer Science,2021,2019,1,Data Science,134955,17284
441628,Brittany Martin,1998-01-10,Chemical Engineering,2016,2018,1,Network Security,125934,14871
837685,Melody Payne,1997-12-15,Mechanical Engineering,2016,2019,4,Web Development,131633,7565
268329,Erica Owens,2003-06-20,Mechanical Engineering,2020,2020,1,Artificial Intelligence,52994,5231
260971,Timothy Cruz,2003-05-19,Electrical Engineering,2021,2019,2,Artificial Intelligence,125632,18721
851589,Cassandra Johnson,1999-09-11,Chemical Engineering,2019,2020,1,Network Security,89571,16943
880448,Jonathan Ali,2006-03-31,Mechanical Engineering,2019,2020,4,Artificial Intelligence,61165,5748
523477,Lisa Rodriguez,2004-05-18,Chemical Engineering,2022,2020,2,Web Development,173071,21942
842097,Caleb Evans,2004-02-09,Computer Science,2017,2020,4,Artificial Intelligence,113468,597
599098,Virginia Hall,1999-11-06,Civil Engineering,2016,2017,4,Network Security,80912,5062
251033,Susan Middleton,2001-01-06,Civil Engineering,2021,2018,2,Artificial Intelligence,189481,34281
346779,Jennifer Anderson,1997-08-10,Computer Science,2017,2017,1,Data Science,105783,15191
444197,Brandi Bridges,2002-04-17,Chemical Engineering,2019,2021,2,Data Science,60951,9842
991828,Charles Barry,2000-07-31,Computer Science,2016,2021,2,Artificial Intelligence,75030,7811
743502,Sarah Gonzalez,2005-08-04,Electrical Engineering,2019,2019,3,Artificial Intelligence,68083,917
439048,Gary Garcia,2005-07-21,Chemical Engineering,2020,2023,3,Machine Learning,88470,292
312203,Lawrence Hayes,1998-05-08,Civil Engineering,2020,2017,1,Machine Learning,183430,32837
984048,Amy Hanson,2004-12-12,Mechanical Engineering,2017,2018,3,Machine Learning,158144,14576
751987,Benjamin Lane,2001-02-28,Computer Science,2021,2019,2,Network Security,64523,7277
400958,Nicole Grimes,1998-11-30,Civil Engineering,2021,2023,4,Artificial Intelligence,152798,19868
930450,Andrew Reed,2001-06-11,Mechanical Engineering,2018,2017,2,Network Security,54367,1964
795079,Tiffany Armstrong,2000-04-17,Computer Science,2019,2018,1,Web Development,79395,10364
328657,Nicholas Cook,1999-02-16,Mechanical Engineering,2019,2023,1,Machine Learning,87936,2612
617245,Mr. David Pena,2000-08-25,Civil Engineering,2016,2018,2,Machine Learning,63531,7637
895696,Michael Anderson,2002-12-27,Civil Engineering,2021,2018,4,Data Science,116656,4135
989259,Rebecca Thomas,1997-09-09,Civil Engineering,2019,2023,2,Machine Learning,135043,993
804268,Diana Alvarado,2000-12-04,Computer Science,2020,2018,2,Network Security,176127,450
573813,Marissa Ritter,1997-10-01,Electrical Engineering,2020,2021,2,Data Science,173082,31325
302083,Dana Woods,1998-08-13,Mechanical Engineering,2022,2021,4,Web Development,64782,8204
979183,Todd Holmes,2004-10-29,Computer Science,2019,2019,2,Web Development,97872,13789
480400,Nancy Lewis,2005-09-21,Chemical Engineering,2022,2017,2,Machine Learning,108563,16562
824237,Christopher Tyler,2005-06-14,Electrical Engineering,2017,2020,4,Artificial Intelligence,178909,28009
621030,Brittany Taylor,2002-02-12,Computer Science,2017,2017,2,Network Security,161933,26643
225387,Danielle Johnson,1998-09-20,Electrical Engineering,2020,2019,3,Artificial Intelligence,65619,6875
560688,Russell Meyers DDS,2000-11-11,Mechanical Engineering,2017,2020,1,Machine Learning,165365,2584
200648,Eric Howard,2005-08-25,Mechanical Engineering,2018,2023,2,Network Security,194644,36082
747561,Laura Wright,2005-05-07,Mechanical Engineering,2017,2021,4,Machine Learning,185572,6769
955244,Leonard Pierce,2000-10-31,Civil Engineering,2016,2017,2,Machine Learning,150780,14529
194606,Luis Barber,1998-08-01,Computer Science,2021,2017,1,Artificial Intelligence,121670,17803
868885,Melanie Donovan,2005-01-11,Computer Science,2020,2018,4,Web Development,100014,9066
923936,Mr. Jacob Harris,1999-12-17,Computer Science,2016,2018,2,Web Development,186289,26356
923805,Bryan Torres,1998-08-23,Electrical Engineering,2022,2017,3,Network Security,131269,24309
286004,Leslie Allen,2003-06-18,Computer Science,2022,2020,1,Network Security,150567,21517
109669,Cynthia Sanders,1998-04-12,Mechanical Engineering,2021,2023,2,Artificial Intelligence,95280,5386
667391,Bradley Ray,1998-09-03,Electrical Engineering,2020,2021,1,Network Security,181507,6319
117375,Dean Howard,2003-12-06,Mechanical Engineering,2016,2017,2,Data Science,170321,21958
550200,Mark Frye,2005-03-18,Mechanical Engineering,2019,2018,3,Artificial Intelligence,148260,21733
277997,Thomas Perez,2003-09-22,Electrical Engineering,2022,2017,3,Network Security,192794,35652
837116,Stacey Welch,1998-12-16,Mechanical Engineering,2020,2023,2,Data Science,178977,22273
